UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
993,529249,GB,SS-1300,Defensive Pass Interference,5,25,A
994,529256,IND,CV-0200,Defensive Holding,5,5,A
995,529263,GB,JW-6530,Defensive Offside,4,0,O
996,529263,IND,TH-1850,Illegal Touch Pass,3,0,O
997,529271,GB,SS-1300,Face Mask,6,15,A
998,529293,IND,WJ-0700,False Start,1,5,A
999,529322,CLE,DP-0600,Defensive Pass Interference,5,8,A
1000,529323,NYG,CS-2800,False Start,1,5,A
1001,529339,NYG,XX-0000,Offensive Holding,2,0,D
1002,529339,NYG,AB-2600,Chop Block,7,15,A
1003,529341,CLE,BS-2300,Defensive Pass Interference,5,13,A
1004,529350,CLE,BW-0700,Offensive Holding,2,10,A
1005,529377,NYG,PA-0300,Illegal Use of Hands,5,5,A
1006,529390,CLE,JS-2100,Defensive Offside,4,0,D
1007,529396,CLE,JN-1900,Illegal Crackback,7,11,A
1008,529397,CLE,AM-0100,Illegal Block Above the Waist,7,5,A
1009,529402,CLE,BS-2300,Defensive Pass Interference,5,24,A
1010,529434,CLE,TC-0350,Defensive Offside,4,5,A
1011,529447,CLE,MS-0550,False Start,1,5,A
1012,529449,CLE,SL-0300,False Start,1,5,A
1013,529450,NYG,OU-0100,Defensive Offside,4,0,D
1014,529454,CLE,BW-0850,Illegal Forward Pass,3,5,A
1015,529481,ATL,RJ-0500,Offensive Holding,2,8,A
1016,529492,ATL,TG-1300,False Start,1,5,A
1017,529528,ATL,GR-0300,Ineligible Downfield Pass,3,0,D
1018,529546,WAS,TW-2800,Offensive Holding,2,0,D
1019,529549,WAS,LF-0300,Defensive Holding,5,5,A
1020,529556,WAS,BC-1700,Encroachment,4,0,A
1021,529557,WAS,LA-0200,Defensive Holding,5,0,D
1022,529567,WAS,AR-1200,Illegal Block Above the Waist,7,10,A
1023,529611,WAS,RD-1500,Illegal Contact,5,5,A
1024,529649,PHI,DB-1400,False Start,1,5,A
1025,529665,PIT,IT-0100,Defensive Pass Interference,5,31,A
1026,529670,PIT,WC-0200,Offensive Holding,2,10,A
1027,529671,PHI,DT-0100,Unnecessary Roughness,6,15,A
1028,529673,PIT,MW-0500,Illegal Formation,3,5,A
1029,529675,PIT,AB-3500,False Start,1,5,A
1030,529676,PIT,WC-0200,Offensive Holding,2,0,D
1031,529677,PIT,DV-0100,Player Out of Bounds on Punt,3,5,A
1032,529680,PHI,CH-1200,False Start,1,5,A
1033,529691,PHI,MG-0700,Player Out of Bounds on Punt,3,5,A
1034,529712,PHI,NA-0200,Defensive Holding,5,5,A
1035,529717,PIT,WC-0200,Offensive Holding,2,0,O
1036,529717,PHI,NA-0100,Illegal Contact,5,0,O
1037,529736,PIT,SS-3400,Offensive Holding,2,10,A
1038,529738,PIT,RC-1300,Unnecessary Roughness,6,15,A
1039,529743,PIT,RM-5300,Personal Foul,6,15,A
1040,529785,PIT,WC-0200,Offensive Holding,2,10,A
1041,529832,MIN,CC-4200,Unnecessary Roughness,6,15,A
1042,529833,MIN,CJ-1500,Offensive Holding,2,10,A
1043,529841,TEN,SH-1500,False Start,1,5,A
1044,529844,MIN,HS-0130,Disqualification,6,15,A
1045,529845,TEN,CS-1250,Unnecessary Roughness,6,15,A
1046,529852,TEN,DS-4400,False Start,1,5,A
1047,529857,MIN,JR-2750,Offensive Holding,2,5,A
1048,529871,TEN,JC-4300,False Start,1,5,A
1049,529872,TEN,MR-1700,Offensive Holding,2,0,D
1050,529877,TEN,MG-1800,Unnecessary Roughness,6,15,A
1051,529906,TEN,DS-4400,Offensive Holding,2,10,A
1052,529922,MIN,EG-0900,Roughing the Passer,6,15,A
1053,529931,TEN,RB-2200,Kickoff Out of Bounds,3,5,A
1054,529934,TEN,KK-1000,Neutral Zone,4,5,A
1055,529962,TEN,XX-0000,Illegal Formation,3,5,A
1056,529967,TEN,MR-1700,False Start,1,5,A
1057,529990,CHI,JC-6200,Delay of Game,3,5,A
