PID,FUM,FRCV,FRY,FORC
522474,DB-5300,DF-1800,0,BB-3400
522565,PR-0300,RM-3100,0,WW-0800
522625,PR-0300,RM-3100,0,ZB-0400
522652,CB-3000,XX-0000,0,MG-1800
522852,SW-1900,CP-0500,0,XX-0000
523049,AS-1600,AS-1600,0,XX-0000
523174,MT-2400,MT-2400,0,KB-2100
523212,KM-2900,SW-0700,0,SN-0500
523483,DC-0700,DC-0700,0,DE-0500
523659,BW-0700,MM-1300,0,XX-0000
523699,RF-0500,JP-0600,0,XX-0000
523840,BG-0100,GW-0700,0,RM-1400
523982,MJ-2500,MJ-2500,0,XX-0000
524041,JF-3100,TL-0400,0,DW-1100
524096,TR-0800,GG-0300,0,GM-0500
524113,TR-0800,EW-1700,0,MB-1900
524141,JF-3100,DP-1100,0,DW-1100
524249,DT-0600,DR-1100,0,KE-0300
524352,MS-0100,MS-0100,0,XX-0000
524374,RG-1850,RG-1850,0,XX-0000
524438,RG-1850,CD-2200,0,CD-2200
524476,RG-1850,BB-0600,0,XX-0000
524483,BG-1800,JW-5300,0,JW-5300
524622,MC-0700,CJ-2400,0,JG-0400
524624,DM-1200,JC-1800,0,XX-0000
524756,JL-2300,NF-0100,0,XX-0000
524872,KW-2550,DL-1200,0,CH-4200
524903,BP-0600,AV-0300,72,AV-0300
525049,AP-0700,PH-0400,0,DW-2600
525063,FG-0200,MM-3600,0,JS-0500
525092,TG-0600,PW-1200,3,XX-0000
525097,TG-0600,TG-0600,0,XX-0000
525099,TG-0600,CR-1300,11,AB-3100
525101,AS-1600,BR-1000,0,JA-0900
525145,MV-0300,DW-3200,0,SA-0100
525185,MV-0300,JS-0300,93,KR-0500
525306,RM-1200,TD-0900,0,SW-0700
525405,DR-3200,WM-1000,0,WM-1000
