PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
528806,KH-2600,40,40,N,XX-0000,0,N
528839,BF-0300,59,49,N,AJ-1200,10,N
528847,KH-2600,25,25,N,XX-0000,0,N
528871,KH-2600,42,42,N,XX-0000,0,N
528889,KH-2600,41,37,N,MT-0550,4,N
528901,KH-2600,55,44,N,MT-0550,11,N
528923,BF-0300,46,31,N,AJ-1200,15,N
528929,KH-2600,39,39,N,XX-0000,0,N
528939,BF-0300,53,33,Y,XX-0000,0,N
528953,BF-0300,45,25,Y,XX-0000,0,N
528964,DC-3200,51,51,N,JJ-3900,0,Y
528970,SK-0600,47,46,N,JA-2000,1,N
528977,DC-3200,40,40,N,LW-0700,0,Y
528981,SK-0600,49,41,N,JA-2000,8,N
529011,SK-0600,36,11,N,TC-2500,25,N
529035,SK-0600,44,39,N,JA-2000,5,N
529044,DC-3200,34,34,N,XX-0000,0,N
529064,DC-3200,58,48,N,JJ-3900,10,N
529087,DC-3200,53,53,N,XX-0000,0,N
529091,SK-0600,56,52,N,JA-2000,4,N
529120,PM-0300,42,42,N,RC-1500,0,Y
529127,TM-0800,57,51,N,TH-1850,6,N
529150,PM-0300,44,36,N,RC-1500,8,N
529168,PM-0300,47,38,N,RC-1500,9,N
529172,TM-0800,36,36,N,TH-1850,0,Y
529203,TM-0800,36,36,N,TH-1850,0,Y
529210,PM-0300,45,46,N,RC-1500,-1,N
529227,TM-0800,58,58,N,TH-1850,0,Y
529260,TM-0800,43,36,N,TH-1850,7,N
529269,TM-0800,34,34,N,TH-1850,0,Y
529283,TM-0800,52,52,N,TH-1850,0,Y
529287,PM-0300,45,42,N,RC-1500,3,N
529327,SW-0500,57,37,Y,XX-0000,0,N
529400,RH-2500,49,41,N,RR-0130,8,N
529413,RH-2500,40,40,N,XX-0000,0,N
529438,SW-0500,43,31,N,JC-5600,12,N
529442,RH-2500,55,55,N,XX-0000,0,N
529494,MB-3000,40,33,N,BB-0600,7,N
529501,SR-0800,35,35,N,DF-1700,0,Y
529505,MB-3000,63,61,N,BB-0600,2,N
529509,SR-0800,56,56,N,DF-1700,0,N
529516,MB-3000,57,37,Y,XX-0000,0,N
529523,SR-0800,35,35,N,DF-1700,0,Y
529570,SR-0800,53,53,N,XX-0000,0,N
529574,MB-3000,44,31,N,BB-0600,13,N
529593,MB-3000,33,33,N,BB-0600,0,Y
529597,SR-0800,33,33,N,XX-0000,0,N
529625,SR-0800,42,40,N,DF-1700,2,N
529640,MB-3000,56,36,Y,XX-0000,0,N
529656,MM-1900,25,25,N,AB-3500,0,Y
529660,DB-6350,48,48,N,DJ-0950,0,Y
529678,DB-6350,36,36,N,XX-0000,0,N
529691,MM-1900,56,36,Y,XX-0000,0,N
529711,MM-1900,39,39,N,XX-0000,0,N
529737,DB-6350,57,44,N,DJ-0950,13,N
529751,DB-6350,44,44,N,XX-0000,0,N
529755,MM-1900,56,49,N,AB-3500,7,N
529808,BK-0700,37,37,N,MS-1300,0,Y
529812,CK-0900,52,38,N,DR-1200,14,N
529816,BK-0700,38,38,N,XX-0000,0,N
529839,CK-0900,35,35,N,DR-1200,0,Y
529857,BK-0700,49,49,N,MS-1300,0,N
529875,BK-0700,53,54,N,MS-1300,-1,N
529891,BK-0700,37,37,N,MS-1300,0,Y
529909,BK-0700,42,42,N,MS-1300,0,Y
529961,CK-0900,51,40,N,DR-1200,11,N
529974,BA-0850,49,45,N,DH-2700,4,N
529981,BA-0850,34,34,N,DH-2700,0,Y
530021,AP-1800,37,37,N,XX-0000,0,N
530025,BA-0850,65,61,N,DH-2700,4,N
530029,AP-1800,43,43,N,AR-1500,0,Y
530050,AP-1800,42,22,Y,XX-0000,0,N
530081,BA-0850,55,43,N,DH-2700,12,N
530099,BA-0850,38,40,N,DH-2700,-2,N
530118,BA-0850,50,50,N,XX-0000,0,N
530140,BN-0700,29,29,N,XX-0000,0,N
530153,BN-0700,63,46,N,LW-0500,17,N
530161,JR-3700,34,34,N,XX-0000,0,N
530169,BN-0700,38,26,N,LW-0500,12,N
530186,BN-0700,52,52,N,LW-0500,0,N
530194,JR-3700,34,34,N,XX-0000,0,N
530214,BN-0700,47,38,N,LW-0500,9,N
530232,BN-0700,53,52,N,LW-0500,1,N
530239,JR-3700,54,41,N,CM-3400,13,N
530251,BN-0700,36,36,N,XX-0000,0,N
530289,AL-0500,58,58,N,XX-0000,0,N
530293,SP-1620,59,39,Y,XX-0000,0,N
530306,SP-1620,24,24,N,XX-0000,0,N
530313,AL-0500,54,54,N,XX-0000,0,N
530338,SP-1620,58,58,N,XX-0000,0,N
530366,SP-1620,39,39,N,TG-0900,0,N
