PID,KICKER,KGRO,KNET,KTB,KR,KRY
536319,DC-0500,65,45,Y,XX-0000,0
536337,SH-0400,71,51,Y,XX-0000,0
536361,SH-0400,68,47,N,SL-0900,21
536372,JH-0900,70,42,N,LW-0500,28
536375,SH-0400,72,52,Y,XX-0000,0
536386,SH-0400,72,52,Y,XX-0000,0
536394,JH-0900,69,48,N,LW-0500,21
536423,JH-0900,65,45,Y,XX-0000,0
536460,JH-0900,66,47,N,LW-0500,19
536475,SH-0400,71,51,Y,XX-0000,0
536493,JH-0900,42,42,N,LW-0500,0
536496,MC-3000,64,46,N,MS-3900,18
536514,JS-1100,63,34,N,RC-1500,29
536525,MC-3000,71,54,N,MS-3900,17
536550,MC-3000,62,38,N,KT-0700,24
536577,JS-1100,73,53,Y,XX-0000,0
536585,JS-1100,74,54,Y,XX-0000,0
536587,JS-1100,63,35,N,RC-1500,28
536633,MC-3000,70,45,N,KT-0700,25
536646,JS-1100,64,25,N,XX-0000,0
536665,MC-3000,70,50,Y,XX-0000,0
536671,SG-0800,74,54,Y,XX-0000,0
536679,GZ-2000,62,43,N,DM-1300,19
536690,SG-0800,69,53,N,IP-0300,16
536709,SG-0800,70,50,Y,XX-0000,0
536729,SG-0800,64,41,N,IP-0300,23
536752,SG-0800,42,36,N,CD-0200,6
536754,GZ-2000,70,50,Y,XX-0000,0
536762,SG-0800,72,52,Y,XX-0000,0
536776,SG-0800,65,43,N,CG-1060,22
536808,SG-0800,64,38,N,CG-1060,26
536834,KF-0250,62,41,N,CR-0250,21
536848,SS-3100,68,46,N,BB-0600,22
536858,SS-3100,65,45,Y,XX-0000,0
536874,KF-0250,61,39,N,CR-0250,22
536887,SS-3100,68,40,N,BB-0600,28
536900,SS-3100,72,42,N,BB-0600,30
536912,SS-3100,61,44,N,BB-0600,17
536920,KF-0250,65,45,Y,XX-0000,0
536933,SS-3100,65,45,Y,XX-0000,0
536953,KF-0250,55,47,N,WJ-0300,8
536983,PM-0300,65,45,Y,XX-0000,0
536998,RB-2200,55,55,N,CV-0200,0
537011,PM-0300,65,45,Y,XX-0000,0
537051,RB-2200,65,46,N,MM-4800,19
537060,RB-2200,49,40,N,CV-0200,9
537071,PM-0300,65,45,Y,XX-0000,0
537102,RB-2200,65,45,Y,XX-0000,0
537119,PM-0300,52,45,N,DR-1200,7
537134,RB-2200,65,45,Y,XX-0000,0
537144,RS-3400,72,52,Y,XX-0000,0
537158,SJ-0300,74,54,Y,XX-0000,0
537181,SJ-0300,72,52,Y,XX-0000,0
537190,RS-3400,68,45,N,MG-1000,23
537203,RS-3400,62,39,N,MG-1000,23
537215,SJ-0300,70,50,Y,XX-0000,0
537222,SJ-0300,65,45,Y,XX-0000,0
537228,SJ-0300,73,43,N,SD-0800,30
537240,RS-3400,71,51,Y,XX-0000,0
537248,SJ-0300,67,32,N,SD-0800,35
537280,SJ-0300,65,45,Y,XX-0000,0
537297,RS-3400,10,10,N,XX-0000,0
537304,DB-0200,74,54,Y,XX-0000,0
537312,LT-1100,65,54,N,LD-0850,11
537324,LT-1100,66,51,N,LD-0850,15
537333,LT-1100,67,23,N,LD-0850,44
537347,LT-1100,74,54,Y,XX-0000,0
537352,LT-1100,65,45,Y,XX-0000,0
537377,DB-0200,61,41,N,DW-4050,20
537391,DB-0200,69,45,N,DW-4050,24
537398,LT-1100,72,51,N,LD-0850,21
537412,DB-0200,65,44,N,DW-4050,21
