PID,FGXP,FKICKER,DIST,GOOD
525821,XP,JT-3950,20,Y
525841,XP,JT-3950,20,Y
525854,XP,SG-0800,20,Y
525866,XP,JT-3950,20,Y
525880,XP,SG-0800,20,Y
525904,FG,SG-0800,20,Y
525932,XP,JT-3950,20,Y
525951,FG,JT-3950,27,Y
526011,XP,SH-0400,20,Y
526042,FG,MC-3000,29,Y
526061,FG,MC-3000,40,Y
526111,XP,SH-0400,20,Y
526157,XP,JT-3950,20,N
526169,FG,JT-3950,45,Y
526190,XP,PD-0200,20,Y
526223,XP,JT-3950,20,Y
526232,FG,PD-0200,51,Y
526245,FG,JT-3950,47,N
526251,XP,JT-3950,20,Y
526260,FG,PD-0200,50,Y
526282,FG,PD-0200,52,Y
526320,XP,SG-0800,20,Y
526349,FG,SG-0800,49,N
526357,XP,RL-0900,20,Y
526369,FG,SG-0800,42,N
526375,XP,RL-0900,20,Y
526399,XP,RL-0900,20,Y
526409,XP,SG-0800,20,Y
526423,XP,SG-0800,20,Y
526435,XP,SG-0800,20,Y
526446,XP,SG-0800,20,Y
526454,XP,SG-0800,20,Y
526467,XP,RL-0900,20,Y
526475,XP,SG-0800,20,Y
526481,FG,SG-0800,30,Y
526499,XP,NN-0200,20,Y
526508,FG,NN-0200,24,Y
526514,XP,NN-0200,20,Y
526541,FG,NN-0200,47,Y
526563,XP,NN-0200,20,Y
526590,XP,RS-3400,20,Y
526625,XP,NN-0200,20,Y
526634,XP,RS-3400,20,Y
526644,FG,NN-0200,45,Y
526666,XP,JM-4000,20,Y
526693,XP,MB-4600,20,Y
526701,FG,MB-4600,41,Y
526710,XP,JM-4000,20,Y
526728,XP,MB-4600,20,Y
526749,XP,MB-4600,20,Y
526764,XP,JM-4000,20,Y
526791,XP,JM-4000,20,Y
526801,FG,MB-4600,33,Y
526823,FG,MB-4600,40,Y
526863,XP,DA-0300,20,Y
526876,FG,DA-0300,55,N
526899,FG,DA-0300,36,Y
526909,FG,DA-0300,40,N
526931,XP,DA-0300,20,Y
526940,XP,DA-0300,20,Y
526955,FG,DA-0300,40,Y
526966,XP,DA-0300,20,Y
526980,XP,BW-0350,20,Y
526986,FG,JH-0900,40,Y
527011,FG,BW-0350,49,Y
527032,FG,BW-0350,27,Y
527048,FG,JH-0900,31,Y
527063,XP,BW-0350,20,Y
527100,FG,BW-0350,46,N
527129,XP,JH-0900,20,Y
527156,XP,SH-0400,20,Y
527168,FG,GZ-2000,58,Y
527210,XP,GZ-2000,20,Y
527220,FG,GZ-2000,48,Y
527225,FG,GZ-2000,60,Y
527247,FG,SH-0400,31,Y
527261,FG,SH-0400,30,Y
527277,FG,GZ-2000,24,Y
527308,XP,SG-1100,20,Y
527333,XP,SG-1100,20,Y
527352,XP,RB-2200,20,Y
527385,XP,SG-1100,20,Y
527402,XP,SG-1100,20,Y
527431,FG,SG-1100,33,Y
527438,XP,SG-1100,20,Y
527450,XP,RB-2200,20,Y
527466,XP,MP-2100,20,Y
527476,FG,SJ-0300,38,Y
527492,FG,MP-2100,21,Y
527528,FG,SJ-0300,24,Y
527545,XP,MP-2100,20,Y
527555,XP,MP-2100,20,Y
527566,XP,MP-2100,20,Y
527584,FG,MP-2100,43,Y
527603,FG,MP-2100,53,Y
527657,FG,DC-0500,32,Y
527683,XP,DC-0500,20,Y
527692,FG,DC-0500,27,Y
527701,FG,DC-0500,51,N
527710,XP,JF-0900,20,Y
527753,XP,JF-0900,20,Y
527783,XP,JF-0900,20,Y
527802,FG,JF-0900,46,Y
527826,FG,MN-0800,35,Y
527841,XP,JS-1100,20,Y
527861,XP,MN-0800,20,Y
527876,XP,MN-0800,20,Y
527908,FG,JS-1100,21,Y
527919,XP,MN-0800,20,Y
527925,FG,MN-0800,35,Y
527977,FG,CB-0700,50,Y
527987,XP,BC-3000,20,Y
527999,FG,BC-3000,41,N
528010,XP,BC-3000,20,Y
528018,XP,BC-3000,20,Y
528028,FG,CB-0700,57,Y
528042,FG,BC-3000,57,N
528077,XP,CB-0700,20,Y
528088,FG,BC-3000,31,N
528117,FG,CB-0700,47,Y
528126,FG,BC-3000,41,Y
528145,XP,MC-3000,20,Y
528159,XP,GH-0600,20,Y
528173,XP,MC-3000,20,Y
528199,XP,MC-3000,20,Y
528215,XP,GH-0600,20,Y
528235,FG,GH-0600,20,Y
528252,XP,GH-0600,20,Y
528268,FG,GH-0600,27,Y
528288,XP,MC-3000,20,Y
528304,FG,GH-0600,48,N
528386,XP,AH-2600,20,Y
528397,FG,LT-1100,25,Y
528409,FG,AH-2600,20,Y
528419,XP,LT-1100,20,Y
528428,FG,AH-2600,48,Y
528445,FG,AH-2600,35,Y
528452,XP,LT-1100,20,Y
528465,FG,AH-2600,26,Y
528477,FG,LT-1100,54,N
528531,FG,RG-1500,43,Y
528536,XP,RG-1500,20,Y
528547,XP,DB-0200,20,Y
528556,XP,RG-1500,20,Y
528570,XP,RG-1500,20,Y
528581,FG,DB-0200,39,Y
528593,FG,RG-1500,21,Y
528610,XP,RG-1500,20,Y
528638,XP,GZ-2000,20,Y
528657,FG,JF-0900,35,Y
528681,FG,GZ-2000,53,Y
528702,FG,JF-0900,40,N
528764,XP,GZ-2000,20,Y
528811,FG,MN-0800,42,Y
528834,FG,MN-0800,24,Y
528857,XP,DC-0500,20,Y
528884,XP,DC-0500,20,Y
528896,FG,DC-0500,46,Y
528908,FG,DC-0500,53,N
528918,XP,MN-0800,20,Y
528946,FG,MN-0800,41,N
528992,FG,JT-3950,28,Y
529025,FG,RS-3400,30,Y
529059,FG,JT-3950,26,Y
529078,FG,JT-3950,39,Y
529103,FG,RS-3400,31,Y
529145,XP,MC-3000,20,Y
529180,FG,AV-0400,24,Y
529187,XP,MC-3000,20,Y
529199,FG,AV-0400,53,N
529222,XP,AV-0400,20,Y
529235,FG,AV-0400,50,Y
529245,FG,MC-3000,52,N
529277,FG,AV-0400,28,Y
529312,FG,MC-3000,51,N
529318,XP,PD-0200,20,Y
529333,XP,PD-0200,20,Y
529348,XP,LT-1100,20,Y
529360,FG,PD-0200,32,Y
529375,FG,LT-1100,29,Y
529386,XP,LT-1100,20,Y
529393,XP,LT-1100,20,Y
529403,FG,LT-1100,40,Y
529423,XP,LT-1100,20,Y
529428,FG,PD-0200,41,Y
529462,XP,LT-1100,20,Y
529471,XP,PD-0200,20,Y
529530,XP,BC-3000,20,Y
529547,FG,BC-3000,31,N
529558,XP,MB-4600,20,Y
529582,FG,BC-3000,23,Y
529604,XP,MB-4600,20,Y
529609,XP,BC-3000,20,Y
529620,FG,MB-4600,53,Y
529632,XP,MB-4600,20,Y
529704,XP,SS-3100,20,Y
529725,FG,SS-3100,20,Y
529746,XP,AH-2600,20,Y
529764,FG,SS-3100,34,Y
529783,XP,AH-2600,20,Y
529799,FG,SS-3100,34,Y
529826,XP,BW-0350,20,Y
529849,FG,BW-0350,42,Y
529869,FG,BW-0350,36,Y
529903,FG,BW-0350,26,Y
529916,XP,BW-0350,20,Y
529930,XP,RB-2200,20,Y
529939,XP,BW-0350,20,Y
529994,FG,RG-1500,32,Y
530010,FG,JS-1100,31,Y
530071,FG,RG-1500,31,Y
530075,XP,RG-1500,20,Y
530092,XP,RG-1500,20,Y
530107,XP,RG-1500,20,Y
530113,XP,RG-1500,20,Y
530127,XP,RG-1500,20,Y
530148,FG,SH-0400,22,Y
530181,FG,SH-0400,36,Y
530207,FG,JM-4000,32,Y
530217,XP,JM-4000,20,Y
530246,XP,SH-0400,20,Y
530258,FG,SH-0400,44,Y
530299,FG,DA-0300,19,Y
530326,FG,RL-0900,31,Y
530331,XP,DA-0300,20,Y
530357,XP,DA-0300,20,Y
530374,XP,DA-0300,20,Y
530395,XP,DA-0300,20,Y
530410,XP,DA-0300,20,Y
530427,XP,DA-0300,20,Y
530464,XP,SG-0800,20,Y
530477,XP,MP-2100,20,Y
530494,XP,SG-0800,20,Y
530519,FG,SG-0800,23,Y
530552,XP,SG-0800,20,Y
530558,XP,SG-0800,20,Y
530570,XP,MP-2100,20,Y
530600,XP,MP-2100,20,Y
530639,XP,NN-0200,20,Y
530650,XP,GH-0600,20,Y
530671,FG,NN-0200,20,Y
530680,XP,GH-0600,20,Y
530690,FG,NN-0200,55,N
530699,XP,NN-0200,20,Y
530714,XP,NN-0200,20,Y
530746,XP,GH-0600,20,Y
530763,XP,GH-0600,20,Y
530778,FG,GH-0600,26,Y
530804,XP,SG-1100,20,Y
