UID,GID,PLAYER,PA,PC,PY,INT,RA,SRA,RY,TRG,REC,RECY,FUML,PENY
458,3232,DR-3200,0,0,0,0,0,0,0,1,1,0,1,0
459,3233,LB-0100,0,0,0,0,3,0,-5,0,0,0,0,0
460,3233,PM-0200,5,2,12,0,0,0,0,0,0,0,0,0
461,3233,JD-2700,0,0,0,0,0,0,0,2,1,6,0,0
462,3233,WM-0300,0,0,0,0,1,0,3,1,1,6,0,0
463,3233,MS-0200,3,2,17,0,0,0,0,0,0,0,0,0
464,3233,AF-0900,0,0,0,0,3,1,6,1,1,3,0,0
465,3233,MW-3100,0,0,0,0,0,0,0,1,0,0,0,0
466,3233,DT-0900,0,0,0,0,0,0,0,1,0,0,0,0
467,3233,OD-0100,0,0,0,0,0,0,0,1,1,14,0,0
468,3234,IR-0100,0,0,0,0,2,0,1,0,0,0,0,0
469,3234,MW-0500,0,0,0,0,1,0,1,1,1,14,0,0
470,3234,BR-1100,6,5,40,0,0,0,0,0,0,0,0,0
471,3234,HM-0200,0,0,0,0,0,0,0,3,3,17,0,0
472,3234,JD-3400,0,0,0,0,1,0,0,0,0,0,0,0
473,3234,DM-1600,0,0,0,0,8,3,16,0,0,0,0,0
474,3234,CP-0500,8,7,34,0,1,1,6,0,0,0,0,0
475,3234,MG-1000,0,0,0,0,1,0,1,0,0,0,0,0
476,3234,DH-2800,0,0,0,0,0,0,0,2,1,3,0,0
477,3234,RS-3250,0,0,0,0,0,0,0,1,1,5,0,0
478,3234,DM-3100,0,0,0,0,0,0,0,3,3,15,0,0
479,3234,RG-1400,0,0,0,0,0,0,0,1,1,1,0,0
480,3234,AB-3500,0,0,0,0,0,0,0,1,1,10,0,0
481,3234,MR-0500,0,0,0,0,0,0,0,1,1,10,0,0
482,3235,SR-0700,0,0,0,0,4,1,11,0,0,0,0,0
483,3235,TB-2300,7,4,26,0,0,0,0,0,0,0,0,0
484,3235,JE-0100,0,0,0,0,0,0,0,3,1,7,0,0
485,3235,BL-1200,0,0,0,0,0,0,0,2,1,9,0,0
486,3235,MH-3300,0,0,0,0,0,0,0,1,1,4,0,0
487,3235,BB-2250,0,0,0,0,1,1,2,0,0,0,0,0
488,3235,JF-1900,4,2,25,0,1,0,-1,0,0,0,0,0
489,3235,AB-2000,0,0,0,0,0,0,0,1,0,0,0,0
490,3235,DP-1300,0,0,0,0,0,0,0,2,1,20,0,0
491,3235,RR-0400,0,0,0,0,1,1,7,0,0,0,0,0
492,3235,DW-4300,0,0,0,0,3,2,9,0,0,0,0,0
493,3235,WW-0200,0,0,0,0,0,0,0,1,1,6,0,0
494,3235,TS-2300,0,0,0,0,0,0,0,1,1,5,0,0
495,3236,CB-1400,0,0,0,0,2,1,0,0,0,0,0,0
496,3236,AR-1300,5,2,15,0,1,1,1,0,0,0,0,0
497,3236,JK-2200,0,0,0,0,0,0,0,1,1,6,0,0
498,3236,DD-2600,0,0,0,0,0,0,0,1,0,0,0,0
499,3236,GJ-0400,0,0,0,0,0,0,0,2,1,9,0,0
500,3236,JJ-4200,0,0,0,0,0,0,0,1,0,0,0,0
501,3236,ML-2500,0,0,0,0,3,1,4,0,0,0,0,0
502,3236,RW-3850,3,2,7,0,1,0,-1,0,0,0,0,0
503,3236,ZM-0200,0,0,0,0,0,0,0,1,1,4,0,0
504,3236,GT-0100,0,0,0,0,0,0,0,2,1,3,0,0
505,3237,JF-1900,4,3,21,1,1,1,1,0,0,0,0,0
506,3237,RR-0400,0,0,0,0,2,0,1,2,2,3,0,0
507,3237,AB-2000,0,0,0,0,0,0,0,1,0,0,0,0
508,3237,DP-1300,0,0,0,0,0,0,0,0,0,0,0,5
509,3237,TS-2300,0,0,0,0,0,0,0,1,1,18,0,0
510,3237,BW-0850,3,2,19,0,0,0,0,0,0,0,0,0
511,3237,CO-0300,0,0,0,0,0,0,0,1,1,5,0,0
512,3237,TB-1060,0,0,0,0,0,0,0,1,1,14,0,0
513,3237,TR-0350,0,0,0,0,1,1,1,0,0,0,0,0
514,3237,GL-0400,0,0,0,0,0,0,0,1,0,0,0,0
515,3238,SR-0700,0,0,0,0,5,3,11,0,0,0,0,0
516,3238,TB-2300,5,3,34,0,1,1,4,0,0,0,0,0
517,3238,WW-0200,0,0,0,0,0,0,0,1,1,9,0,0
518,3238,RF-0500,1,1,20,0,0,0,0,0,0,0,0,0
